ACC,F1,FDR,FN,FNR,FP,FPR,G,MCC,MODEL,NGENES,NGENES_AFFECTED,NMARKERS,NMARKERS_CAUSAL,NPV,NSAMPLES,PPV,REP,RSS,S2,TN,TNR,TP,TPR,TRANS
,,,0,,0,,,,NBinomial,200,1,20,1,,100,,10,,4,0,,0,,none
0.9995,,1.0,1,1.0,1,0.00025006251562890725,0.0,-0.00025006251562890725,Poisson,200,1,20,1,0.9997499374843711,100,0.0,10,,4,3998,0.9997499374843711,0,0.0,none
0.9995,,1.0,1,1.0,1,0.00025006251562890725,0.0,-0.00025006251562890725,Binomial,200,1,20,1,0.9997499374843711,100,0.0,10,,4,3998,0.9997499374843711,0,0.0,none
,,,0,,0,,,,NBinomial,400,1,40,1,,200,,1,,1,0,,0,,none
,,,0,,0,,,,Poisson,400,1,40,1,,200,,1,,1,0,,0,,none
,,,0,,0,,,,Binomial,400,1,40,1,,200,,1,,1,0,,0,,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,400,1,40,1,1.0,200,1.0,2,0.0,1,15999,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Poisson,400,1,40,1,1.0,200,1.0,2,0.0,1,15999,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Binomial,400,1,40,1,1.0,200,1.0,2,0.0,1,15999,1.0,1,1.0,none
,,,0,,0,,,,NBinomial,400,1,40,1,,200,,3,,1,0,,0,,none
,,,0,,0,,,,Poisson,400,1,40,1,,200,,3,,1,0,,0,,none
,,,0,,0,,,,Binomial,400,1,40,1,,200,,3,,1,0,,0,,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,400,1,40,1,1.0,200,1.0,4,0.0,1,15999,1.0,1,1.0,none
,,,0,,0,,,,Poisson,400,1,40,1,,200,,4,,1,0,,0,,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Binomial,400,1,40,1,1.0,200,1.0,4,0.0,1,15999,1.0,1,1.0,none
,,,0,,0,,,,NBinomial,400,1,40,1,,200,,5,,1,0,,0,,none
,,,0,,0,,,,Poisson,400,1,40,1,,200,,5,,1,0,,0,,none
,,,0,,0,,,,Binomial,400,1,40,1,,200,,5,,1,0,,0,,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,400,1,40,1,1.0,200,1.0,6,0.0,1,15999,1.0,1,1.0,none
0.999875,,1.0,1,1.0,1,6.250390649415588e-05,0.0,-6.250390649415588e-05,Poisson,400,1,40,1,0.9999374960935058,200,0.0,6,,1,15998,0.9999374960935058,0,0.0,none
