NSAMPLES	MODEL	TRANS	REP	R2	X2	X2p	X2c	nMSE	PCC	RHO
226	Normal	blom	49	1.0	4250812114.83	1.08620539123	-2.04611368484	2.06981229912	0.0172055012133	0.00431077509987
226	Normal	blom	5	1.0	31041371.3816	1.14822264544	-2.02231988471	2.07237204289	0.0108054813057	0.00143547845858
226	Normal	blom	50	1.0	1561616371.04	1.18010248589	-2.0044345434	2.07018228025	0.0198894620854	0.00213380004622
226	Normal	blom	51	1.0	275744551.604	1.0976916027	-2.04687015713	2.07352113055	0.0192277339983	-0.00224283850909
226	Normal	blom	52	1.0	856617824.442	1.09294564565	-2.05704765892	2.07586414715	0.0231393591013	0.00356248666674
226	Normal	blom	53	1.0	161474859.809	1.09932143268	-2.05512694374	2.06961288711	0.00869488973941	0.00463253155937
226	Normal	blom	54	1.0	1891640505.58	1.11692069225	-2.04246062836	2.06340586019	0.0265769058885	0.00602263834024
226	Normal	blom	55	1.0	977227972.598	1.15155705479	-2.0097858427	2.06712155497	0.023767142739	0.00247518962389
226	Normal	blom	56	1.0	56830690.4282	1.1325145369	-2.03653940546	2.06727304904	0.0229466871709	0.00444565752659
226	Normal	blom	57	1.0	547553000.112	1.10616601838	-2.05343164853	2.06523552179	0.0262047491916	0.00440692868998
226	Normal	blom	58	1.0	1009745550.15	1.17584528796	-2.00539411257	2.0685439649	0.0144961372981	0.00272653222093
226	Normal	blom	59	1.0	366437940.741	1.13117843173	-2.03679600594	2.06282881219	0.0223198007449	0.00696140505416
226	Normal	blom	6	1.0	845161800.07	1.12972668506	-2.02867323784	2.06105872647	0.020559249456	0.00714474213389
226	Normal	blom	60	1.0	614673936.69	1.10125714776	-2.03909686601	2.06158689454	0.0290907758867	0.00600866018196
226	Normal	blom	61	0.207722157717	428153025.223	1.14809855596	-2.0366056993	2.07154218977	0.00633671425695	0.00194249885974
226	Normal	blom	62	1.0	551877865.797	1.09815318888	-2.03789899055	2.06986111091	0.0285518183404	0.000414820247156
226	Normal	blom	63	1.0	1202502486.16	1.19421061942	-2.00362099686	2.06604053807	0.0272808431189	0.00591501277809
226	Normal	blom	64	1.0	1220639233.53	1.1637207825	-2.00686681043	2.06506679569	0.0231462887782	0.00574197653729
226	Normal	blom	65	1.0	286681571.86	1.14199961237	-2.02983855272	2.06761379235	0.0280114864276	0.00588480683592
226	Normal	blom	66	1.0	72902338.458	1.16627118239	-2.01610676586	2.06136608614	0.0228085208607	0.00741440831571
226	Normal	blom	67	1.0	395625498.1	1.1484793922	-2.0239127613	2.06552030787	0.0268037581112	0.00514147306522
226	Normal	blom	68	1.0	139226008.169	1.2072903224	-1.99697469591	2.07218379521	0.0110419581923	0.00258528550951
226	Normal	blom	69	1.0	308137453.379	1.10137879586	-2.05673458502	2.06917225067	0.0259767653382	0.00275979812612
226	Normal	blom	7	1.0	675584230.062	1.10641950094	-2.04854992635	2.06694218426	0.0157311268367	0.00826674790642
226	Normal	blom	70	1.0	286407438.414	1.10455358506	-2.03809429015	2.05889561017	0.0237205584944	0.00920126976532
226	Normal	blom	71	1.0	753512813.687	1.15172102633	-2.01750372446	2.07216782061	0.0223652361185	-0.000397561093089
226	Normal	blom	72	1.0	48133080.6935	1.13914148851	-2.019039768	2.0683272606	0.0235728030352	0.00208952001487
226	Normal	blom	73	1.0	374860662.303	1.13621719966	-2.02744497854	2.06348187154	0.0278610683326	0.00453706886969
226	Normal	blom	74	1.0	279863188.968	1.20722119688	-1.99154223906	2.071215604	0.0258414868561	0.0025036002696
226	Normal	blom	75	1.0	391861063.025	1.17155756284	-2.01050190589	2.07084614995	0.0113216052414	0.00205024481603
