MODEL	TRANS	REP	R2	X2	X2p	X2c
Normal	boxcox	26	1.0	2.13122748149e+23	1.47106955385	2.1745348833
Normal	boxcox	27	1.0	6.91467896704e+23	1.66486547342	2.18513894841
Normal	boxcox	28	1.0	9.01597485381e+24	1.96375930903	2.1759803735
Normal	boxcox	29	1.0	3.27089655283e+23	1.68677596339	2.17222707695
Normal	boxcox	3	1.0	3.36401956166e+22	1.61335937858	2.17718316718
Normal	boxcox	30	1.0	2.83809047323e+20	1.54518418224	2.1811558804
Normal	boxcox	31	1.0	3.24961360197e+22	1.86581856456	2.19603031659
Normal	boxcox	32	1.0	5.03916456904e+23	1.71085452008	2.18914928146
Normal	boxcox	33	1.0	5.65907542948e+25	1.83183268697	2.18417150445
Normal	boxcox	34	0.9999999913	8.72439009236e+25	1.56041789568	2.17352191067
Normal	boxcox	35	1.0	5.06214832735e+24	1.65811007818	2.17907946018
Normal	boxcox	36	1.0	1.47509569367e+25	1.49801824175	2.15747041084
Normal	boxcox	37	1.0	3.92825402723e+21	1.66117421214	2.1801810402
Normal	boxcox	38	1.0	4.23906621244e+25	1.67740995598	2.18315673308
Normal	boxcox	39	1.0	1.04079731808e+24	1.60939302801	2.17144027762
Normal	boxcox	4	1.0	4.83685217466e+23	1.96963946319	2.16754162277
Normal	boxcox	40	1.0	4.0842092841e+25	1.34912450327	2.17704103116
Normal	boxcox	41	1.0	5.79868243333e+23	1.71404004662	2.16826815684
Normal	boxcox	42	1.0	2.5461824324e+23	1.81715768	2.16011276847
Normal	boxcox	43	1.0	1.57798363336e+26	1.49638003986	2.1877117566
Normal	boxcox	44	1.0	1.48230249896e+24	1.95352057399	2.17896702936
Normal	boxcox	45	1.0	6.34586697347e+19	1.39687276997	2.18384105596
Normal	boxcox	46	1.0	1.19922950392e+24	1.86180997437	2.1714047377
Normal	boxcox	47	0.0	7.4168609226e+22	1.96683147583	2.1818100692
Normal	boxcox	48	1.0	1.27282863356e+23	2.14838099354	2.18347094132
Normal	boxcox	49	1.0	3.34758294665e+23	1.55486528059	2.17930449992
Normal	boxcox	5	1.0	2.53421944913e+25	1.94873112688	2.17602826074
Normal	boxcox	50	1.0	3.76663983782e+23	1.6590187232	2.17582181926
Normal	boxcox	51	1.0	3.01860585179e+22	1.88219256423	2.16912960149
Normal	boxcox	52	1.0	3.37412640118e+22	1.63601146769	2.1737900155
Normal	boxcox	53	1.0	2.28181278356e+24	1.92924644137	2.16495738799
Normal	boxcox	54	1.0	5.63893719081e+25	1.53115397434	2.17074245591
Normal	boxcox	55	1.0	5.09674110119e+21	1.6350708453	2.17795717124
Normal	boxcox	56	0.0	9.2019882822e+23	1.8466866437	2.1917635633
Normal	boxcox	57	1.0	1.16676453198e+21	1.70105766955	2.16527409529
Normal	boxcox	58	1.0	5.12380483764e+23	1.87842035922	2.1828723716
Normal	boxcox	59	0.0137474693678	1.76886666413e+20	1.63747417518	2.18448868448
Normal	boxcox	6	0.0102396762862	2.7573032865e+23	2.05750435867	2.18724838922
Normal	boxcox	60	1.0	1.33745829973e+25	1.41410987117	2.18090793117
Normal	boxcox	61	1.0	2.75367153937e+22	1.68563311061	2.17362886123
Normal	boxcox	62	1.0	4.51601898197e+23	1.50725486943	2.18074592052
Normal	boxcox	63	1.0	5.95712263818e+23	1.59832753635	2.18248641288
Normal	boxcox	64	1.0	7.87237920159e+22	1.85154812363	2.16656518045
Normal	boxcox	65	1.0	9.15472878016e+23	1.66396155777	2.17954484276
Normal	boxcox	66	1.0	1.56617004912e+23	2.02433474246	2.17639960015
Normal	boxcox	67	1.0	6.18563575051e+22	1.66850951737	2.17165894142
Normal	boxcox	68	1.0	4.04810754043e+22	1.29967232101	2.17656212179
Normal	boxcox	69	1.0	1.24164054744e+24	1.65592755473	2.1797330752
Normal	boxcox	7	0.998405235963	8.0521316315e+23	1.61746257739	2.18094651605
Normal	boxcox	70	1.0	1.50527865979e+26	2.1534968371	2.16462093391
Normal	boxcox	71	1.0	2.58120468188e+22	1.64424786042	2.17723040999
Normal	boxcox	72	1.0	2.84139161332e+25	1.47042137328	2.18039015834
Normal	boxcox	73	1.0	3.82602814947e+23	1.86790508053	2.17849126652
Normal	boxcox	74	1.0	3.65753362827e+26	1.55151081853	2.17628075287
Normal	boxcox	75	1.0	1.37386881148e+22	1.50392406651	2.17174909476
Normal	boxcox	76	1.0	1.8615858857e+24	1.55678536701	2.18593407003
Normal	boxcox	77	1.0	3.84276388169e+21	1.73806269875	2.1774414789
Normal	boxcox	78	1.0	1.79140184467e+23	1.6617825309	2.18024925256
Normal	boxcox	79	1.0	4.82271842507e+23	1.48332040401	2.16131497643
Normal	boxcox	8	1.0	1.70160581712e+24	1.72105156845	2.17349175739
Normal	boxcox	80	0.0	9.78227503427e+23	1.76724357193	2.1732412694
Normal	boxcox	81	1.0	3.32799626675e+22	2.10097176622	2.17008193467
Normal	boxcox	82	1.0	4.79819548161e+23	1.87814056744	2.18000031155
Normal	boxcox	83	1.0	5.28491516614e+22	1.34404225389	2.17533402903
Normal	boxcox	84	1.0	1.64158836755e+23	1.35641564971	2.1744588178
Normal	boxcox	85	1.0	1.48773829892e+25	1.76842305423	2.16613228913
Normal	boxcox	86	0.905023268021	3.99459586813e+23	1.78210095587	2.19882900562
Normal	boxcox	87	0.99999970942	5.16914762365e+23	1.8944391186	2.18970772791
Normal	boxcox	88	1.0	8.38257433773e+23	1.77344335999	2.16908910356
Normal	boxcox	89	1.0	2.21316948443e+23	1.38781453993	2.1755259863
Normal	boxcox	9	1.0	2.93368925278e+23	1.60953274323	2.16991935185
Normal	boxcox	90	0.999995824898	2.35226493334e+22	1.88343454215	2.18110664815
Normal	boxcox	91	1.0	2.61472802948e+27	1.55526857887	2.1720674086
Normal	boxcox	92	1.0	8.73544440039e+20	2.34403831383	2.17553041498
Normal	boxcox	93	1.0	5.06953453689e+25	1.80320084955	2.17281592346
Normal	boxcox	94	1.0	3.89713919727e+22	1.61087526382	2.17362642624
Normal	boxcox	95	1.0	3.69841106817e+23	1.40901975462	2.17879659893
Normal	boxcox	96	1.0	2.13289386669e+24	1.75678674688	2.1748489271
Normal	boxcox	97	1.0	2.96074218695e+23	1.46811484284	2.16962622727
Normal	boxcox	98	1.0	2.19689939452e+23	1.45844974112	2.16445402233
Normal	boxcox	99	1.0	1.82828258984e+24	1.68124360215	2.17321110392
Normal	log	1	1.0	6.74573409276e+22	1.57262997699	2.16677708883
Normal	log	10	1.0	2.76636815117e+25	2.15806731014	2.15985546453
Normal	log	100	1.0	6.69537599852e+22	1.90840715643	2.16097986835
Normal	log	11	1.0	3.47219527601e+21	1.99407897228	2.16950086598
Normal	log	12	1.0	4.18276972221e+22	1.78964374806	2.16207159197
Normal	log	13	1.0	2.40666050841e+23	1.87858711313	2.15791619399
Normal	log	14	1.0	1.3769916699e+24	2.57677802705	2.16281976915
Normal	log	15	1.0	2.50870942613e+20	1.65629012195	2.17064057462
Normal	log	16	1.0	1.54931165031e+25	2.30605520905	2.16888589879
Normal	log	17	1.0	3.60299749938e+23	1.99353189644	2.15331842545
Normal	log	18	1.0	2.45104708375e+20	1.57944002356	2.15505198618
Normal	log	19	1.0	1.43918656566e+26	1.46126221471	2.15770068134
Normal	log	2	0.0	3.71815407042e+23	1.79233053028	2.17961382971
Normal	log	20	1.0	1.76322334697e+25	2.01990279289	2.16183977186
Normal	log	21	1.0	1.35615115828e+24	1.7906873824	2.16399090432
Normal	log	22	1.0	6.43736424323e+23	1.58577019326	2.16304301209
Normal	log	23	1.0	6.77281112655e+26	1.63007633024	2.15499233849
Normal	log	24	1.0	7.68607845428e+22	2.24122920155	2.16586016353
Normal	log	25	1.0	1.88780057275e+23	1.89329649863	2.16615645552
Normal	log	26	1.0	9.219412563e+23	1.63076892848	2.16270281115
Normal	log	27	1.0	4.41268049818e+24	1.87736024119	2.17044705858
Normal	log	28	1.0	1.5255597181e+21	2.37963745341	2.16511253261
Normal	log	29	1.0	2.09366569123e+22	1.90140338608	2.15829058882
Normal	log	3	1.0	1.54242542081e+22	1.78199037182	2.15792434022
Normal	log	30	1.0	1.69220981387e+25	1.67808061501	2.17755499433
Normal	log	31	1.0	2.26963484964e+26	2.13624363034	2.16777012558
Normal	log	32	1.0	2.62416290747e+23	2.03891807888	2.17282735243
Normal	log	33	1.0	6.00274753323e+22	2.15903514077	2.17213771615
Normal	log	34	1.0	1.14508723558e+24	1.69227030336	2.16345081585
Normal	log	35	1.0	1.6513607357e+23	2.05195472829	2.16554270486
Normal	log	36	1.0	4.17303118985e+23	1.68159509968	2.15698354817
Normal	log	37	1.0	5.90312559333e+24	1.90116581721	2.16895865349
Normal	log	38	1.0	3.10839711729e+22	1.85180852945	2.17066843396
Normal	log	39	1.0	6.17092446028e+23	1.97585769937	2.15204045949
