ACC,F1,FDR,FN,FNR,FP,FPR,G,MCC,MODEL,NGENES,NGENES_AFFECTED,NMARKERS,NMARKERS_CAUSAL,NPV,NSAMPLES,PPV,REP,RSS,SIZE,TN,TNR,TP,TPR,TRANS
0.9979,0.08695652173913045,0.0,21,0.9545454545454546,0,0.0,0.21320071635561044,0.21297671554111666,Normal,100,2,100,1,0.9978997899789979,1000,1.0,1,147.8336068943716,1.5,9978,1.0,1,0.045454545454545456,log
,,,0,,0,,,,Normal,100,2,100,1,,1000,,1,,1.5,0,,0,,boxcox
0.9979,0.08695652173913045,0.0,21,0.9545454545454546,0,0.0,0.21320071635561044,0.21297671554111666,Normal,100,2,100,1,0.9978997899789979,1000,1.0,1,147.8336068943716,1.5,9978,1.0,1,0.045454545454545456,blom
,,,0,,0,,,,Normal,100,2,100,1,,1000,,2,,1.5,0,,0,,log
,,,0,,0,,,,Normal,100,2,100,1,,1000,,2,,1.5,0,,0,,boxcox
,,,0,,0,,,,Normal,100,2,100,1,,1000,,2,,1.5,0,,0,,blom
,,,0,,0,,,,Normal,100,2,100,1,,1000,,3,,1.5,0,,0,,log
,,,0,,0,,,,Normal,100,2,100,1,,1000,,3,,1.5,0,,0,,boxcox
,,,0,,0,,,,Normal,100,2,100,1,,1000,,3,,1.5,0,,0,,blom
,,,0,,0,,,,Normal,100,2,100,1,,1000,,4,,1.5,0,,0,,log
,,,0,,0,,,,Normal,100,2,100,1,,1000,,4,,1.5,0,,0,,boxcox
,,,0,,0,,,,Normal,100,2,100,1,,1000,,4,,1.5,0,,0,,blom
,,,0,,0,,,,Normal,100,2,100,1,,1000,,5,,1.5,0,,0,,log
,,,0,,0,,,,Normal,100,2,100,1,,1000,,5,,1.5,0,,0,,boxcox
,,,0,,0,,,,Normal,100,2,100,1,,1000,,5,,1.5,0,,0,,blom
,,,0,,0,,,,Normal,100,2,100,1,,1000,,6,,1.5,0,,0,,log
,,,0,,0,,,,Normal,100,2,100,1,,1000,,6,,1.5,0,,0,,boxcox
,,,0,,0,,,,Normal,100,2,100,1,,1000,,6,,1.5,0,,0,,blom
,,,0,,0,,,,Normal,100,2,100,1,,1000,,7,,1.5,0,,0,,log
,,,0,,0,,,,Normal,100,2,100,1,,1000,,7,,1.5,0,,0,,boxcox
,,,0,,0,,,,Normal,100,2,100,1,,1000,,7,,1.5,0,,0,,blom
,,,0,,0,,,,Normal,100,2,100,1,,1000,,8,,1.5,0,,0,,log
,,,0,,0,,,,Normal,100,2,100,1,,1000,,8,,1.5,0,,0,,boxcox
,,,0,,0,,,,Normal,100,2,100,1,,1000,,8,,1.5,0,,0,,blom
,,,0,,0,,,,Normal,100,2,100,1,,1000,,9,,1.5,0,,0,,log
,,,0,,0,,,,Normal,100,2,100,1,,1000,,9,,1.5,0,,0,,boxcox
,,,0,,0,,,,Normal,100,2,100,1,,1000,,9,,1.5,0,,0,,blom
,,,0,,0,,,,Normal,100,2,100,1,,1000,,10,,1.5,0,,0,,log
,,,0,,0,,,,Normal,100,2,100,1,,1000,,10,,1.5,0,,0,,boxcox
,,,0,,0,,,,Normal,100,2,100,1,,1000,,10,,1.5,0,,0,,blom
,,,0,,0,,,,Normal,100,2,100,1,,1000,,1,,2.0,0,,0,,log
0.998,0.16666666666666669,0.0,20,0.9090909090909091,0,0.0,0.30151134457776363,0.3012096219518264,Normal,100,2,100,1,0.997999599919984,1000,1.0,1,60.16605515746928,2.0,9978,1.0,2,0.09090909090909091,boxcox
0.9979,0.08695652173913045,0.0,21,0.9545454545454546,0,0.0,0.21320071635561044,0.21297671554111666,Normal,100,2,100,1,0.9978997899789979,1000,1.0,1,168.25829520881808,2.0,9978,1.0,1,0.045454545454545456,blom
0.9979,0.08695652173913045,0.0,21,0.9545454545454546,0,0.0,0.21320071635561044,0.21297671554111666,Normal,100,2,100,1,0.9978997899789979,1000,1.0,2,141.21037500106152,2.0,9978,1.0,1,0.045454545454545456,log
0.9979,0.08695652173913045,0.0,21,0.9545454545454546,0,0.0,0.21320071635561044,0.21297671554111666,Normal,100,2,100,1,0.9978997899789979,1000,1.0,2,141.21037500106152,2.0,9978,1.0,1,0.045454545454545456,boxcox
,,,0,,0,,,,Normal,100,2,100,1,,1000,,2,,2.0,0,,0,,blom
0.998,0.16666666666666669,0.0,20,0.9090909090909091,0,0.0,0.30151134457776363,0.3012096219518264,Normal,100,2,100,1,0.997999599919984,1000,1.0,3,18.031651909653746,2.0,9978,1.0,2,0.09090909090909091,log
0.9979,0.08695652173913045,0.0,21,0.9545454545454546,0,0.0,0.21320071635561044,0.21297671554111666,Normal,100,2,100,1,0.9978997899789979,1000,1.0,3,95.87995896073765,2.0,9978,1.0,1,0.045454545454545456,boxcox
0.998,0.16666666666666669,0.0,20,0.9090909090909091,0,0.0,0.30151134457776363,0.3012096219518264,Normal,100,2,100,1,0.997999599919984,1000,1.0,3,20.9880725055304,2.0,9978,1.0,2,0.09090909090909091,blom
0.9983,0.37037037037037035,0.0,17,0.7727272727272727,0,0.0,0.4767312946227962,0.47632569777191974,Normal,100,2,100,1,0.9982991495747874,1000,1.0,4,9.108042782895003,2.0,9978,1.0,5,0.22727272727272727,log
0.9979,0.08695652173913045,0.0,21,0.9545454545454546,0,0.0,0.21320071635561044,0.21297671554111666,Normal,100,2,100,1,0.9978997899789979,1000,1.0,4,125.51250260599446,2.0,9978,1.0,1,0.045454545454545456,boxcox
0.998,0.16666666666666669,0.0,20,0.9090909090909091,0,0.0,0.30151134457776363,0.3012096219518264,Normal,100,2,100,1,0.997999599919984,1000,1.0,4,33.599962293466305,2.0,9978,1.0,2,0.09090909090909091,blom
